HoldingNo,Floor,BuildupSqft,ConstType,Usage,Occupancy,YearBuilt,ClosingYear,FloorARV,FloorTax
MUNG- 13054,Second Floor - 2,1170,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",rented,,,,
MUNG- 13054,Third Floor - 3,1170,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",rented,,,,
MUNG- 13054,Fourth Floor - 4,1170,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",rented,,,,
MUNG- 11961,Ground Floor - 0,1170,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",rented,,,,
MUNG- 11961,First Floor - 1,1170,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",rented,,,,
MUNG- 11961,Second Floor - 2,1170,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",rented,,,,
MUNG- 11961,Third Floor - 3,1170,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",rented,,,,
MUNG- 11961,Fourth Floor - 4,1170,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",rented,,,,
MUNG- 14087,Ground Floor - 0,1960,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",self,,,,
MUNG- 14087,First Floor - 1,1960,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",self,,,,
MUNG- 03175,Basement - -1,450,RCC,"Hotel, bar, club, healthclub, marriage hall",self,,,,
MUNG- 03175,Ground Floor - 0,960,RCC,"Hotel, bar, club, healthclub, marriage hall",self,,,,
MUNG- 03175,First Floor - 1,960,RCC,"Hotel, bar, club, healthclub, marriage hall",self,,,,
MUNG- 03175,Second Floor - 2,960,RCC,"Hotel, bar, club, healthclub, marriage hall",self,,,,
MUNG- 13657,Basement - -1,1400,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 13657,Ground Floor - 0,1800,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 13657,First Floor - 1,1800,RCC,Residential,self,,,,
MUNG- 13657,Second Floor - 2,1800,RCC,Residential,self,,,,
MUNG- 13657,Third Floor - 3,1800,RCC,Residential,self,,,,
MUNG- 13657,Fourth Floor - 4,263,RCC,Residential,self,,,,
MUNG- 22498,Ground Floor - 0,2408,RCC,"Hotel, bar, club, healthclub, marriage hall",self,,,,
MUNG- 22498,First Floor - 1,2408,RCC,"Hotel, bar, club, healthclub, marriage hall",self,,,,
MUNG- 22498,Second Floor - 2,2408,RCC,"Hotel, bar, club, healthclub, marriage hall",self,,,,
MUNG- 22498,Third Floor - 3,1272,RCC,"Hotel, bar, club, healthclub, marriage hall",self,,,,
MUNG- 14896,Ground Floor - 0,2544,RCC,Residential,self,,,,
MUNG- 14896,First Floor - 1,2544,RCC,Residential,rented,,,,
MUNG- 14896,Second Floor - 2,2544,RCC,Residential,rented,,,,
MUNG- 14896,Third Floor - 3,2544,RCC,Residential,rented,,,,
MUNG- 28912,Ground Floor - 0,528,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 28912,Ground Floor - 0,748,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 28912,Ground Floor - 0,1932,Asbestos,Residential,rented,,,,
MUNG- 28912,First Floor - 1,1081,RCC,Residential,rented,,,,
MUNG- 28912,First Floor - 1,128,RCC,Residential,rented,,,,
MUNG- 03658,Ground Floor - 0,2014,RCC,"Hotel, bar, club, healthclub, marriage hall",rented,,,,
MUNG- 03658,Ground Floor - 0,1656,RCC,Residential,self,,,,
MUNG- 23434,Ground Floor - 0,200,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",self,,,,
MUNG- 10421,Ground Floor - 0,1118,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 10421,Ground Floor - 0,1849,RCC,Residential,self,,,,
MUNG- 25591,Ground Floor - 0,200,Asbestos,Residential,self,,,,
MUNG- 25591,Ground Floor - 0,2288,RCC,Residential,self,,,,
MUNG- 25591,Ground Floor - 0,260,RCC,Residential,self,,,,
MUNG- 01374,Ground Floor - 0,930,RCC,"industry, workshop, storage, godown, warehouse",self,,,,
MUNG- 01374,Ground Floor - 0,946,Asbestos,"industry, workshop, storage, godown, warehouse",self,,,,
MUNG- 01374,First Floor - 1,930,Asbestos,"industry, workshop, storage, godown, warehouse",self,,,,
MUNG- 03464,Ground Floor - 0,2142,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 03464,Ground Floor - 0,210,Asbestos,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 03464,First Floor - 1,2142,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 00991,Ground Floor - 0,690,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 00991,Ground Floor - 0,805,RCC,Residential,self,,,,
MUNG- 27834,Ground Floor - 0,4429,RCC,Residential,self,,,,
MUNG- 27834,Ground Floor - 0,1966,Asbestos,Residential,self,,,,
MUNG- 27834,First Floor - 1,850,RCC,Residential,self,,,,
MUNG- 27765,Ground Floor - 0,1178,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 27765,First Floor - 1,1178,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 13981,Ground Floor - 0,966,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 13981,First Floor - 1,966,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 18951,Ground Floor - 0,2200,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 18951,First Floor - 1,2200,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 12418,Ground Floor - 0,2080,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 12418,Ground Floor - 0,1144,RCC,Residential,self,,,,
MUNG- 12418,First Floor - 1,858,Asbestos,Residential,self,,,,
MUNG- 14208,Ground Floor - 0,3346,RCC,Residential,self,,,,
MUNG- 14208,Ground Floor - 0,294,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 14208,First Floor - 1,1547,RCC,Residential,self,,,,
MUNG- 06779,Ground Floor - 0,1664,RCC,Residential,self,,,,
MUNG- 06779,First Floor - 1,1664,RCC,Residential,self,,,,
MUNG- 06779,Second Floor - 2,1664,RCC,Residential,self,,,,
MUNG- 10564,Ground Floor - 0,1528,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 10564,First Floor - 1,1248,RCC,Residential,self,,,,
MUNG- 10564,Second Floor - 2,1248,RCC,Residential,self,,,,
MUNG- 13382,Ground Floor - 0,1836,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,,
MUNG- 13382,Ground Floor - 0,399,Asbestos,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,,
MUNG- 13382,First Floor - 1,1836,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,,
MUNG- 13382,Second Floor - 2,1836,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,,
MUNG- 13382,Third Floor - 3,1836,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,,
MUNG- 13382,Fourth Floor - 4,1836,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,,
MUNG- 12008,Ground Floor - 0,2880,RCC,Residential,self,,,,
MUNG- 12008,First Floor - 1,2880,RCC,Residential,self,,,,
MUNG- 12008,Second Floor - 2,2880,RCC,Residential,self,,,,
MUNG- 12008,Third Floor - 3,370,Asbestos,Residential,self,,,,
MUNG- 19406,Ground Floor - 0,1454,RCC,Residential,self,,,,
MUNG- 19406,First Floor - 1,1454,RCC,Residential,self,,,,
MUNG- 19406,Second Floor - 2,1454,RCC,Residential,self,,,,
MUNG- 19406,Third Floor - 3,230,RCC,Residential,self,,,,
MUNG- 06724,Ground Floor - 0,1760,RCC,Residential,self,,,,
MUNG- 06724,First Floor - 1,1760,RCC,Residential,self,,,,
MUNG- 06724,Second Floor - 2,1760,RCC,Residential,self,,,,
MUNG- 14519,Ground Floor - 0,1839,RCC,Residential,self,,,,
MUNG- 14519,Ground Floor - 0,493,Asbestos,Residential,self,,,,
MUNG- 14519,First Floor - 1,105,RCC,Residential,self,,,,
MUNG- 07470,Ground Floor - 0,1114,RCC,Residential,self,,,,
MUNG- 07470,First Floor - 1,1114,RCC,Residential,self,,,,
MUNG- 07470,Second Floor - 2,371,RCC,Residential,self,,,,
MUNG- 07470,Third Floor - 3,371,RCC,any other,rented,,,,
MUNG- 09312,Ground Floor - 0,64,RCC,shops(less than 250 sq ft),self,,,,
MUNG- 09312,Ground Floor - 0,771,RCC,Residential,self,,,,
MUNG- 09312,First Floor - 1,835,RCC,Residential,self,,,,
MUNG- 09312,Second Floor - 2,835,RCC,Residential,self,,,,
MUNG- 21156,Ground Floor - 0,2037,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 21156,Ground Floor - 0,968,Asbestos,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 04819,Ground Floor - 0,1555,RCC,Residential,self,,,,
MUNG- 04819,Ground Floor - 0,782,Asbestos,Residential,self,,,,
MUNG- 04819,First Floor - 1,1555,RCC,Residential,self,,,,
MUNG- 04819,Second Floor - 2,1555,RCC,Residential,self,,,,
MUNG- 17675,Ground Floor - 0,1880,RCC,Residential,self,,,14476,1302.84
MUNG- 17675,Ground Floor - 0,235,Asbestos,any other,self,,,6204,558.36
MUNG- 17675,Ground Floor - 0,451,Other,any other,rented,,,8929.8,803.68
MUNG- 19363,Ground Floor - 0,1343.25,RCC,Residential,self,,,10343.02,930.87
MUNG- 19363,Ground Floor - 0,1145.81,RCC,Residential,self,,,8822.74,794.05
MUNG- 19363,Ground Floor - 0,200,RCC,Residential,self,,,1540,138.6
MUNG- 19363,First Floor - 1,1343.25,RCC,Residential,self,,,10343.02,930.87
MUNG- 05363,Ground Floor - 0,2146,RCC,Residential,self,,,16524.2,1487.18
MUNG- 05363,First Floor - 1,2146,RCC,Residential,self,,,16524.2,1487.18
MUNG- 07150,Ground Floor - 0,1260,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,49896,4490.64
MUNG- 07150,First Floor - 1,1260,RCC,Residential,self,,,9702,873.18
MUNG- 07150,Second Floor - 2,1260,RCC,Residential,self,,,9702,873.18
MUNG- 07687,Ground Floor - 0,2019,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",rented,,,119928.6,10793.57
MUNG- 07687,First Floor - 1,1904,RCC,Residential,self,,,14660.8,1319.47
MUNG- 07687,Second Floor - 2,165,Asbestos,Residential,self,,,1039.5,93.55
MUNG- 23537,Ground Floor - 0,3404,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",rented,,,202197.6,18197.78
MUNG- 23537,First Floor - 1,3404,RCC,"Hotel, bar, club, healthclub, marriage hall",self,,,269596.8,24263.71
MUNG- 23537,Second Floor - 2,1610,RCC,"Hotel, bar, club, healthclub, marriage hall",self,,,127512,11476.08
MUNG- 20019,Ground Floor - 0,1842,RCC,Residential,self,,,14183.4,1276.51
MUNG- 20019,First Floor - 1,1683,RCC,Residential,self,,,12959.1,1166.32
MUNG- 20019,Second Floor - 2,106,RCC,Residential,self,,,816.2,73.46
MUNG- 20019,Ground Floor - 0,159,Asbestos,Residential,self,,,1001.7,90.15
MUNG- 08877,Ground Floor - 0,1056,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,83635.2,7527.17
MUNG- 08877,Ground Floor - 0,9407,Asbestos,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,558775.8,50289.82
MUNG- 01856,Ground Floor - 0,163,RCC,shops(less than 250 sq ft),rented,,,8606.4,774.58
MUNG- 01856,Ground Floor - 0,103,RCC,shops(less than 250 sq ft),self,,,3625.6,326.3
MUNG- 01856,Ground Floor - 0,180,RCC,shops(less than 250 sq ft),self,,,6336,570.24
MUNG- 01856,Ground Floor - 0,1066,RCC,Residential,self,,,12685.4,1141.69
MUNG- 01856,First Floor - 1,1512,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,119750.4,10777.54
MUNG- 01856,Second Floor - 2,1512,RCC,Residential,self,,,17992.8,1619.35
MUNG- 02591,Ground Floor - 0,5554,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",rented,,,329907.6,29691.68
MUNG- 02591,Ground Floor - 0,282,Asbestos,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",rented,,,11167.2,1005.05
MUNG- 02591,First Floor - 1,2312,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",rented,,,137332.8,12359.95
MUNG- 02591,Second Floor - 2,2312,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",rented,,,137332.8,12359.95
MUNG- 02591,Third Floor - 3,762,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",rented,,,45262.8,4073.65
MUNG- 14582,Ground Floor - 0,3970,RCC,"Hotel, bar, club, healthclub, marriage hall",self,,,314424,28298.16
MUNG- 14582,Ground Floor - 0,6934,Asbestos,"Hotel, bar, club, healthclub, marriage hall",self,,,366115.2,32950.37
MUNG- 14582,First Floor - 1,2388,RCC,"Hotel, bar, club, healthclub, marriage hall",self,,,189129.6,17021.66
MUNG- 14582,First Floor - 1,1258,Asbestos,"Hotel, bar, club, healthclub, marriage hall",self,,,66422.4,5978.02
MUNG- 10649,Ground Floor - 0,5434,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,286915.2,25822.37
MUNG- 10649,Ground Floor - 0,2600,Asbestos,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,102960,9266.4
MUNG- 10649,First Floor - 1,3034,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,160195.2,14417.57
MUNG- 10649,Second Floor - 2,3034,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,160195.2,14417.57
MUNG- 09342,Basement - -1,2000,RCC,Residential,self,,,23800,2142
MUNG- 09342,Basement - -1,2000,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,105600,9504
MUNG- 09342,Ground Floor - 0,4400,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",self,,,464640,41817.6
MUNG- 09342,First Floor - 1,4400,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",self,,,464640,41817.6
MUNG- 09342,Second Floor - 2,4400,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",self,,,464640,41817.6
MUNG- 09342,Third Floor - 3,4400,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",self,,,464640,41817.6
MUNG- 09342,Fourth Floor - 4,4400,RCC,Residential,self,,,52360,4712.4
MUNG- 09342,Fifth Floor - 5,4400,RCC,Residential,self,,,52360,4712.4
MUNG- 11412,Ground Floor - 0,2880,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,228096,20528.64
MUNG- 11412,Ground Floor - 0,210,Asbestos,shops(less than 250 sq ft),rented,,,8316,748.44
MUNG- 11412,First Floor - 1,1680,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,133056,11975.04
MUNG- 11412,First Floor - 1,1200,RCC,Residential,self,,,14280,1285.2
MUNG- 11412,Second Floor - 2,120,RCC,Residential,self,,,1428,128.52
MUNG- 08364,Ground Floor - 0,1743,RCC,Residential,self,,,20741.7,1866.75
MUNG- 08364,First Floor - 1,1743,RCC,Residential,self,,,20741.7,1866.75
MUNG- 08364,Second Floor - 2,1743,RCC,Residential,rented,,,31112.55,2800.13
MUNG- 29218,Ground Floor - 0,1638,RCC,Residential,self,,,19492.2,1754.3
MUNG- 29218,First Floor - 1,1638,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,129729.6,11675.66
MUNG- 29218,Second Floor - 2,1638,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,129729.6,11675.66
MUNG- 29218,Third Floor - 3,1638,RCC,Residential,self,,,19492.2,1754.3
MUNG- 07009,Ground Floor - 0,3008,RCC,Residential,self,,,35795.2,3221.57
MUNG- 07009,First Floor - 1,1920,RCC,Residential,self,,,22848,2056.32
MUNG- 14428,Ground Floor - 0,3490,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,184272,16584.48
MUNG- 14428,Ground Floor - 0,1516,Asbestos,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,60033.6,5403.02
MUNG- 14428,Ground Floor - 0,432,Asbestos,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,17107.2,1539.65
MUNG- 14428,First Floor - 1,3490,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,184272,16584.48
MUNG- 04440,Ground Floor - 0,1930,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",self,,,203808,18342.72
MUNG- 04440,First Floor - 1,1930,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",self,,,203808,18342.72
MUNG- 04440,Second Floor - 2,1930,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",self,,,203808,18342.72
MUNG- 04008,Ground Floor - 0,3216,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,191030.4,17192.74
MUNG- 04008,Ground Floor - 0,600,RCC,Residential,self,,,4620,415.8
MUNG- 04008,First Floor - 1,3816,RCC,Residential,self,,,29383.2,2644.49
MUNG- 22574,Ground Floor - 0,1440,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,76032,6842.88
MUNG- 22574,First Floor - 1,1440,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,76032,6842.88
MUNG- 22574,Second Floor - 2,1440,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,76032,6842.88
MUNG- 22574,Third Floor - 3,1440,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,76032,6842.88
MUNG- 22574,Fourth Floor - 4,1440,RCC,Residential,self,,,17136,1542.24
MUNG- 22574,Fifth Floor - 5,360,RCC,Residential,self,,,4284,385.56
MUNG- 04221,Ground Floor - 0,2700,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,213840,19245.6
MUNG- 04221,Ground Floor - 0,2000,RCC,Residential,self,,,23800,2142
MUNG- 04221,First Floor - 1,1000,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,79200,7128
MUNG- 04221,First Floor - 1,1700,Asbestos,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,100980,9088.2
MUNG- 19962,Ground Floor - 0,720,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,57024,5132.16
MUNG- 19962,Ground Floor - 0,5870,Asbestos,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,348678,31381.02
MUNG- 14647,Basement - -1,2078,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 14647,Ground Floor - 0,2178,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 14647,First Floor - 1,2178,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 14647,Second Floor - 2,2178,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 14647,Third Floor - 3,2178,RCC,Residential,self,,,,
MUNG- 10134,Ground Floor - 0,3000,RCC,Residential,self,,,,
MUNG- 09370,Ground Floor - 0,2614,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 09370,First Floor - 1,2614,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 09370,Second Floor - 2,2614,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 09216,Ground Floor - 0,1961,RCC,"Hotel, bar, club, healthclub, marriage hall",self,,,,
MUNG- 09216,Ground Floor - 0,150,RCC,Residential,self,,,,
MUNG- 09216,First Floor - 1,1111,RCC,Residential,self,,,,
MUNG- 09216,First Floor - 1,1000,RCC,"Hotel, bar, club, healthclub, marriage hall",self,,,,
MUNG- 09216,Second Floor - 2,2111,RCC,"Hotel, bar, club, healthclub, marriage hall",self,,,,
MUNG- 09216,Third Floor - 3,660,RCC,Residential,self,,,,
MUNG- 29232,Ground Floor - 0,1200,RCC,Residential,self,,,,
MUNG- 29232,Ground Floor - 0,1000,Asbestos,Residential,self,,,,
MUNG- 00677,Ground Floor - 0,1080,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 00677,First Floor - 1,1080,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 00677,Second Floor - 2,1080,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 00677,Third Floor - 3,1080,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 08379,Basement - -1,1680,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 08379,Ground Floor - 0,4210,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 08379,First Floor - 1,3990,RCC,Residential,self,,,,
MUNG- 08379,Second Floor - 2,3990,RCC,Residential,self,,,,
MUNG- 08379,Ground Floor - 0,320,Asbestos,Residential,self,,,,
MUNG- 07813,Ground Floor - 0,2500,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,,
MUNG- 07813,First Floor - 1,2500,RCC,Residential,self,,,,
MUNG- 07813,Second Floor - 2,1000,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,,
MUNG- 07813,Second Floor - 2,1500,RCC,Residential,self,,,,
MUNG- 07813,Third Floor - 3,100,RCC,Residential,self,,,,
MUNG- 16934,Ground Floor - 0,1940,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 16934,Ground Floor - 0,220,RCC,Residential,self,,,,
MUNG- 16934,First Floor - 1,2160,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 16934,Second Floor - 2,1632,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 16934,Second Floor - 2,528,RCC,Residential,self,,,,
MUNG- 16934,Third Floor - 3,810,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 10188,Ground Floor - 0,1700,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",rented,,,,
MUNG- 10188,Ground Floor - 0,1022,RCC,Residential,self,,,,
MUNG- 10188,First Floor - 1,2722,RCC,Residential,self,,,,
MUNG- 10188,Second Floor - 2,2722,RCC,Residential,self,,,,
MUNG- 18689,Ground Floor - 0,928,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 18689,First Floor - 1,928,RCC,Residential,self,,,,
MUNG- 18689,Second Floor - 2,928,RCC,Residential,self,,,,
MUNG- 15283,Ground Floor - 0,1776,RCC,Residential,self,,,,
MUNG- 15283,First Floor - 1,1776,RCC,Residential,self,,,,
MUNG- 15283,Second Floor - 2,1776,RCC,Residential,self,,,,
MUNG- 10992,Basement - -1,765,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 10992,Ground Floor - 0,765,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 10992,First Floor - 1,765,RCC,Residential,self,,,,
MUNG- 10992,Second Floor - 2,765,RCC,Residential,self,,,,
MUNG- 10370,Ground Floor - 0,1520,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",rented,,,,
MUNG- 10370,First Floor - 1,1520,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",rented,,,,
MUNG- 10370,Second Floor - 2,1520,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",rented,,,,
MUNG- 10370,Ground Floor - 0,3842,Asbestos,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",rented,,,,
MUNG- 08956,Ground Floor - 0,816,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 08956,First Floor - 1,816,RCC,Residential,self,,,,
MUNG- 08956,Second Floor - 2,816,RCC,Residential,self,,,,
MUNG- 03768,First Floor - 1,1573,RCC,Residential,self,,,,
