HoldingNo,Floor,BuildupSqft,ConstType,Usage,Occupancy,YearBuilt,ClosingYear,FloorARV,FloorTax
MUNG- 11258,Ground Floor - 0,1602.42,Asbestos,"Hotel, bar, club, healthclub, marriage hall",self,,,,
MUNG- 00802,Ground Floor - 0,3140,RCC,"industry, workshop, storage, godown, warehouse",self,,,,
MUNG- 00802,First Floor - 1,3855.75,RCC,Residential,self,,,,
MUNG- 11855,Ground Floor - 0,2522,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 11855,Ground Floor - 0,180,Asbestos,shops(less than 250 sq ft),rented,,,,
MUNG- 11855,First Floor - 1,2522,RCC,Residential,self,,,,
MUNG- 01509,Ground Floor - 0,234,RCC,shops(less than 250 sq ft),rented,,,,
MUNG- 01509,Ground Floor - 0,234,RCC,shops(less than 250 sq ft),self,,,,
MUNG- 01509,Ground Floor - 0,641,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 01509,First Floor - 1,504,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 01509,First Floor - 1,605,RCC,Residential,self,,,,
MUNG- 01509,Second Floor - 2,1109,RCC,Residential,self,,,,
MUNG- 01509,Third Floor - 3,60,RCC,Residential,self,,,,
MUNG- 01509,Third Floor - 3,92,RCC,Residential,self,,,,
MUNG- 01509,Third Floor - 3,236,RCC,any other,rented,,,,
MUNG- 13435,Ground Floor - 0,1497,RCC,Residential,rented,,,,
MUNG- 13435,First Floor - 1,1464,RCC,Residential,rented,,,,
MUNG- 13435,Second Floor - 2,1464,RCC,Residential,rented,,,,
MUNG- 03677,Ground Floor - 0,3454,Asbestos,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",rented,,,,
MUNG- 03677,Ground Floor - 0,175,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",rented,,,,
MUNG- 10223,Ground Floor - 0,1649,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,,
MUNG- 10223,First Floor - 1,1636,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,,
MUNG- 10223,Second Floor - 2,1636,RCC,Residential,self,,,,
MUNG-01121,Ground Floor - 0,397,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG-01121,First Floor - 1,3975,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG-01121,Second Floor - 2,2394,RCC,Residential,self,,,,
MUNG-01121,Third Floor - 3,2394,RCC,Residential,self,,,,
MUNG-01121,Fourth Floor - 4,2394,RCC,Residential,self,,,,
MUNG-01121,Fifth Floor - 5,2394,RCC,Residential,self,,,,
MUNG-01121,Ground Floor - 0,3803,Asbestos,Residential,self,,,,
MUNG- 18509,Ground Floor - 0,2548,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",rented,,,,
MUNG- 18509,Ground Floor - 0,3051,RCC,Residential,rented,,,,
MUNG- 18510,Ground Floor - 0,19062,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,,
MUNG- 18510,Ground Floor - 0,3444,RCC,Residential,self,,,,
MUNG- 18510,First Floor - 1,15570,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,,
MUNG- 15180,Ground Floor - 0,33338,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,,
MUNG- 15180,Ground Floor - 0,1672,RCC,Residential,self,,,,
MUNG- 15180,First Floor - 1,3338,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,,
MUNG- 15180,Second Floor - 2,12504,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,,
MUNG- 03241,Basement - -1,4041,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",self,,,,
MUNG- 03241,Ground Floor - 0,4587,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",self,,,,
MUNG- 03241,First Floor - 1,4041,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",self,,,,
MUNG- 03241,Second Floor - 2,4041,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",self,,,,
MUNG- 03241,Third Floor - 3,4041,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",self,,,,
MUNG- 03241,Fourth Floor - 4,4041,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",self,,,,
MUNG- 03241,Fifth Floor - 5,589,RCC,Residential,self,,,,
MUNG- 10812,Ground Floor - 0,1450,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,,
MUNG- 10812,Ground Floor - 0,2040,RCC,Residential,self,,,,
MUNG- 10812,First Floor - 1,2840,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,,
MUNG- 21236,Basement - -1,5092,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 21236,Ground Floor - 0,5092,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 21236,First Floor - 1,5092,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 21236,Second Floor - 2,5092,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 10237,Ground Floor - 0,3456,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 10237,First Floor - 1,3456,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 10237,Ground Floor - 0,1216,RCC,Residential,self,,,,
MUNG- 10237,First Floor - 1,1216,RCC,Residential,self,,,,
MUNG- 10237,Second Floor - 2,1216,RCC,Residential,self,,,,
MUNG- 00673,Ground Floor - 0,2214,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 00673,First Floor - 1,2214,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 02110,Ground Floor - 0,5925,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 02110,First Floor - 1,5925,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 02110,Second Floor - 2,1924,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 02110,Ground Floor - 0,999,Asbestos,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 13472,Ground Floor - 0,266,Asbestos,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 14139,Ground Floor - 0,710,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 14139,First Floor - 1,710,RCC,Residential,self,,,,
MUNG- 14139,Second Floor - 2,710,RCC,Residential,self,,,,
MUNG- 14139,Third Floor - 3,710,RCC,Residential,self,,,,
MUNG- 12246,Ground Floor - 0,425,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 12246,First Floor - 1,1122,RCC,Residential,self,,,,
MUNG- 12246,Second Floor - 2,1122,RCC,Residential,self,,,,
MUNG- 12246,Third Floor - 3,1122,RCC,Residential,self,,,,
MUNG- 03550,Ground Floor - 0,2912,RCC,Residential,self,,,,
MUNG- 03550,First Floor - 1,2912,RCC,Residential,self,,,,
MUNG- 03550,Second Floor - 2,2912,RCC,Residential,self,,,,
MUNG- 03550,Third Floor - 3,2912,RCC,Residential,self,,,,
MUNG- 02934,Ground Floor - 0,1092,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 02934,First Floor - 1,1092,RCC,Residential,self,,,,
MUNG- 03966,Ground Floor - 0,2200,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 03966,First Floor - 1,1300,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 03966,First Floor - 1,900,RCC,Residential,self,,,,
MUNG- 03966,Second Floor - 2,2200,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 03966,Third Floor - 3,2200,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 03966,Fourth Floor - 4,2200,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 03466,Ground Floor - 0,2262,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 03466,First Floor - 1,2262,RCC,Residential,self,,,,
MUNG- 03466,Second Floor - 2,2262,RCC,Residential,self,,,,
MUNG- 03466,Third Floor - 3,2262,RCC,Residential,self,,,,
MUNG- 10705,Ground Floor - 0,1023,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 10705,First Floor - 1,1023,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 14175,Ground Floor - 0,2444.75,RCC,Residential,self,,,,
MUNG- 14175,Ground Floor - 0,180,Asbestos,Residential,self,,,,
MUNG- 14175,First Floor - 1,1865.8,RCC,Residential,self,,,,
MUNG- 12404,Ground Floor - 0,3244.5,RCC,Residential,self,,,,
MUNG- 12404,First Floor - 1,744,RCC,Residential,self,,,,
MUNG- 04201,Ground Floor - 0,1715.5,RCC,Residential,self,,,,
MUNG- 04201,Ground Floor - 0,536.5,RCC,Residential,self,,,,
MUNG- 04201,First Floor - 1,1505.5,RCC,Residential,self,,,,
MUNG- 08974,Ground Floor - 0,2211,RCC,Residential,self,,,,
MUNG- 17457,Ground Floor - 0,3143,RCC,Residential,self,,,,
MUNG- 17457,Ground Floor - 0,200,Asbestos,Residential,self,,,,
MUNG- 17457,First Floor - 1,760,RCC,Residential,self,,,,
MUNG- 10535,Ground Floor - 0,3540.25,RCC,Residential,self,,,,
MUNG- 10535,First Floor - 1,620,RCC,Residential,self,,,,
MUNG- 13606,Ground Floor - 0,3048,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,,
MUNG- 13606,Ground Floor - 0,1029,Asbestos,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,,
MUNG- 13606,Ground Floor - 0,1152,Asbestos,any other,self,,,,
MUNG- 13606,First Floor - 1,3048,RCC,Residential,self,,,,
MUNG- 13606,Second Floor - 2,1700,RCC,Residential,self,,,,
MUNG- 09211,Ground Floor - 0,234,RCC,shops(less than 250 sq ft),self,,,,
MUNG- 09211,Ground Floor - 0,1090,RCC,Residential,self,,,,
MUNG- 09211,First Floor - 1,1326,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 09211,Second Floor - 2,1326,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 09211,Third Floor - 3,780,RCC,Residential,self,,,,
MUNG- 16205,Ground Floor - 0,1400,RCC,Residential,self,,,,
MUNG- 16205,First Floor - 1,1400,RCC,Residential,self,,,,
MUNG- 19412,Ground Floor - 0,715,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 19412,First Floor - 1,715,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 19412,Second Floor - 2,715,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
MUNG- 19412,Third Floor - 3,715,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",rented,,,,
